time,generation
2018-08-30 11:00:00,2.56
2018-08-30 12:00:00,3.68
2018-08-30 13:00:00,3.6
2018-08-30 14:00:00,3.89
2018-08-30 15:00:00,3.52
2018-08-30 16:00:00,1.97
2018-08-30 17:00:00,1.45
2018-08-30 18:00:00,0.5
2018-08-30 19:00:00,0.03
2018-08-30 20:00:00,0.01
2018-08-30 21:00:00,0.01
2018-08-30 22:00:00,0.01
2018-08-30 23:00:00,0.01
2018-08-31 00:00:00,0.01
2018-08-31 01:00:00,0.0
2018-08-31 02:00:00,0.0
2018-08-31 03:00:00,0.0
2018-08-31 04:00:00,0.0
2018-08-31 05:00:00,0.0
2018-08-31 06:00:00,0.01
2018-08-31 07:00:00,0.06
2018-08-31 08:00:00,0.7
2018-08-31 09:00:00,2.0
2018-08-31 10:00:00,3.0
2018-08-31 11:00:00,2.99
2018-08-31 12:00:00,3.92
2018-08-31 13:00:00,4.13
2018-08-31 14:00:00,3.31
2018-08-31 15:00:00,3.31
2018-08-31 16:00:00,2.85
2018-08-31 17:00:00,1.69
2018-08-31 18:00:00,0.55
2018-08-31 19:00:00,0.03
2018-08-31 20:00:00,0.0
2018-08-31 21:00:00,0.0
2018-08-31 22:00:00,0.0
2018-08-31 23:00:00,0.0
